Puesto Institucional,Grado jerarquico o escala al que pertenece el puesto,Remuneracion mensual unificada,Remuneracion unificada (anual),Decimo Tercera Remuneracion,Decima Cuarta Remuneracion,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
OPERADOR DE ISLA ( E ),3,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
OPERADOR DE ISLA,3,1334.00,16008.00,120.08,31.25,107.00,0.00,258.33
OPERADOR DE ISLA ( E ),3,1087.00,13044.00,99.92,31.25,112.10,0.00,243.27
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
TÉCNICO ELÉCTRICO (LÍNEAS) ( E ),3,465.00,5580.00,38.75,31.25,0.00,550.00,620.00
AUXILIAR DE SUMINISTROS,1,794.85,9538.20,66.24,31.25,0.00,0.00,97.49
OPERADOR DE ISLA ( E ),3,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,99.92,31.25,112.10,0.00,243.27
AYUDANTE DE PRODUCCIÓN,1,465.00,5580.00,42.75,31.25,47.96,0.00,121.96
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,93.70,31.25,37.37,0.00,162.32
OPERADOR DE PLANTA DE GENERACIÓN ( E ),3,510.00,6120.00,42.50,31.25,0.00,505.00,578.75
AYUDANTE DE CONSTRUCCIONES,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,92.66,31.25,24.91,0.00,148.82
OPERADOR DE ISLA ( E ),3,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
TÉCNICO ELÉCTRICO,3,2068.16,24817.92,181.31,31.25,107.50,0.00,320.06
ANALISTA DE CONTABILIDAD,3,2229.00,26748.00,191.55,31.25,69.65,0.00,292.45
OPERADOR DE ISLA,3,1334.00,16008.00,113.71,31.25,30.57,0.00,175.53
GEÓLOGO,5,3363.00,40356.00,280.25,31.25,0.00,0.00,311.50
OPERADOR DE PLANTA ( E ),3,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
OPERADOR DE PLANTA DE GENERACIÓN ( E ),3,885.00,10620.00,83.04,31.25,111.54,130.00,355.83
AYUDANTE DE ALMACÉN,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ),3,885.00,10620.00,75.59,31.25,22.13,130.00,258.97
AYUDANTE DE MANTENIMIENTO,1,513.00,6156.00,42.75,31.25,0.00,0.00,74.00
ANALISTA DE CONTROL DE COSTOS,3,2229.00,26748.00,185.75,31.25,0.00,0.00,217.00
TÉCNICO ELÉCTRICO ( E ),3,465.00,5580.00,38.75,31.25,0.00,550.00,620.00
JEFE DE GEOCIENCIAS DE EXPLORACIÓN,6,4967.00,59604.00,413.92,31.25,0.00,0.00,445.17
TÉCNICO ELÉCTRICO (LÍNEAS) ( E ),3,465.00,5580.00,38.75,31.25,0.00,550.00,620.00
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
TÉCNICO ELÉCTRICO ( E ),3,465.00,5580.00,39.48,31.25,8.72,550.00,629.45
TÉCNICO RODA,3,1334.00,16008.00,117.54,31.25,76.44,0.00,225.23
GERENTE DE EXPLORACIÓN ( E ),7,3363.00,40356.00,280.25,31.25,0.00,1922.93,2234.43
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
OPERADOR DE ISLA ( E ),3,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
INGENIERO DE AUTOMATIZACIÓN ( E ),5,578.00,6936.00,48.17,31.25,0.00,1637.00,1716.42
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,155.97,31.25,784.68,0.00,971.90
OPERADOR DE ISLA,3,1334.00,16008.00,120.08,31.25,107.00,0.00,258.33
AYUDANTE DE MANTENIMIENTO,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
OPERADOR DE PLANTA,3,1334.00,16008.00,120.08,31.25,107.00,0.00,258.33
INGENIERO ELÉCTRICO ( E ),5,1156.00,13872.00,96.33,31.25,0.00,1059.00,1186.58
TÉCNICO DE OPERACIONES ( E ),4,513.00,6156.00,52.73,31.25,119.70,986.00,1189.68
OPERADOR DE PLANTA,3,1354.00,16248.00,121.88,31.25,108.60,0.00,261.73
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
OPERADOR DE PLANTA,3,1815.00,21780.00,163.38,31.25,145.58,0.00,340.21
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
INGENIERO DE CONFIABILIDAD ( E ),5,573.81,6885.72,47.82,31.25,0.00,1641.19,1720.26
OPERADOR DE ISLA,3,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
AYUDANTE DE MANTENIMIENTO,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
TÉCNICO ELÉCTRICO (LÍNEAS) ( E ),3,465.00,5580.00,38.75,31.25,0.00,550.00,620.00
COMPRADOR ( E ),3,796.00,9552.00,66.33,31.25,0.00,219.00,316.58
ASISTENTE DE CONTROL DE COSTOS,2,1334.00,16008.00,111.17,31.25,0.00,0.00,142.42
TÉCNICO ELÉCTRICO (SUBESTACIONES)  ( S ),3,573.81,6885.72,47.82,31.25,0.00,288.19,367.26
SUPERVISOR DE SEIP ( E ),5,856.00,10272.00,73.12,31.25,21.40,1359.00,1484.77
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
AYUDANTE DE MANTENIMIENTO,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
ANALISTA DE CONTROL DE ACTIVOS,3,2243.51,26922.12,186.96,31.25,0.00,0.00,218.21
INGENIERO DE SOPORTE DE CONSTRUCCIONES,4,2470.00,29640.00,205.83,31.25,0.00,0.00,237.08
ASISTENTE ADMINISTRATIVA,2,1767.13,21205.56,147.26,31.25,0.00,0.00,178.51
TÉCNICO ELÉCTRICO (LÍNEAS),3,573.81,6885.72,47.82,31.25,0.00,0.00,79.07
ESPECIALISTA DE INFRAESTRUCTURA DE TI,4,2277.00,27324.00,195.68,31.25,71.16,0.00,298.09
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,69.10,31.25,33.17,0.00,133.52
ASISTENTE DE CONTROL DE COSTOS,2,795.00,9540.00,66.25,31.25,0.00,0.00,97.50
SUPERVISOR DE SEGURIDAD Y AMBIENTE,5,2470.00,29640.00,205.83,31.25,0.00,0.00,237.08
OPERADOR DE ISLA ( E ),3,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
TÉCNICO ELÉCTRICO DE AIRE ACONDICIONADO ( E ),3,465.00,5580.00,38.75,31.25,0.00,550.00,620.00
INGENIERO DE INTEGRIDAD MECÁNICA ( E ),5,955.00,11460.00,79.58,31.25,0.00,1260.00,1370.83
AYUDANTE DE MANTENIMIENTO,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
COORDINADOR DE LEVANTAMIENTO ARTIFICIAL,5,4000.00,48000.00,333.33,31.25,0.00,0.00,364.58
TÉCNICO ELÉCTRICO (LÍNEAS),3,856.00,10272.00,71.33,31.25,0.00,0.00,102.58
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
AYUDANTE DE MANTENIMIENTO,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
INGENIERO DE SOPORTE DE CONFIABILIDAD ( E ),4,475.00,5700.00,39.58,31.25,0.00,1024.00,1094.83
OPERADOR DE PLANTA ( E ),3,531.00,6372.00,50.47,31.25,74.67,484.00,640.39
SUPERVISOR DE PRODUCCIÓN ( E ),5,2133.77,25605.24,195.60,31.25,213.38,0.00,440.23
TÉCNICO INSTRUMENTISTA,3,1815.00,21780.00,151.25,31.25,0.00,0.00,182.50
SUPERVISOR DE REACONDICIONAMIENTO,5,2736.00,32832.00,250.78,31.25,273.32,0.00,555.35
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,105.11,31.25,174.37,0.00,310.73
OPERADOR DE ISLA,3,1334.00,16008.00,120.08,31.25,107.00,0.00,258.33
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
OPERADOR DE ISLA,3,1334.00,16008.00,129.00,31.25,214.00,0.00,374.25
OPERADOR DE PLANTA DE GENERACIÓN,3,573.81,6885.72,52.75,31.25,59.17,0.00,143.17
SUPERVISOR ELÉCTRICO,5,2599.00,31188.00,216.58,31.25,0.00,0.00,247.83
AYUDANTE DE MANTENIMIENTO,1,513.00,6156.00,42.75,31.25,0.00,0.00,74.00
OPERADOR DE PLANTA ( E ),3,1087.00,13044.00,96.81,31.25,74.74,0.00,202.80
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
INGENIERO DE CONFIABILIDAD ( E ),5,475.00,5700.00,39.58,31.25,0.00,1740.00,1810.83
TÉCNICO ELÉCTRICO (SUBESTACIONES) ( E ),3,465.00,5580.00,38.75,31.25,0.00,550.00,620.00
AYUDANTE DE REACONDICIONAMIENTO,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
AYUDANTE DE REACONDICIONAMIENTO,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
TÉCNICO DE INTEGRIDAD MECÁNICA ( E ),3,465.00,5580.00,38.75,31.25,0.00,550.00,620.00
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
CAPATAZ DE SEGURIDAD Y AMBIENTE,2,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
AYUDANTE DE MANTENIMIENTO,1,885.00,10620.00,75.90,31.25,25.81,0.00,132.96
OPERADOR DE ISLA,3,1334.00,16008.00,130.27,31.25,229.28,0.00,390.80
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
OPERADOR DE PLANTA,3,1334.00,16008.00,129.00,31.25,214.00,0.00,374.25
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,69.10,31.25,33.17,0.00,133.52
AYUDANTE DE CONSTRUCCIONES,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
AYUDANTE DE REFINERÍA,1,1087.00,13044.00,155.97,31.25,784.69,0.00,971.91
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,95.77,31.25,62.28,0.00,189.30
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ),3,885.00,10620.00,76.52,31.25,33.19,130.00,270.96
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
OPERADOR DE PLANTA ( E ),3,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
BODEGUERO,2,1597.00,19164.00,133.08,31.25,0.00,0.00,164.33
ANALISTA DE CONTROL DE COSTOS,3,2229.00,26748.00,185.75,31.25,0.00,0.00,217.00
ASISTENTE DE OPERACIONES ( E ),2,885.00,10620.00,73.75,31.25,0.00,0.00,105.00
OPERADOR DE AUTOBOMBA,2,1334.00,16008.00,111.17,31.25,0.00,0.00,142.42
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
OPERADOR DE VACUUM,2,1196.00,14352.00,107.66,31.25,95.93,0.00,234.84
OPERADOR DE PLANTA,3,1334.00,16008.00,129.00,31.25,214.00,0.00,374.25
OPERADOR DE ISLA,3,1334.00,16008.00,145.17,31.25,407.99,0.00,584.41
OPERADOR DE PLANTA,3,1334.00,16008.00,126.45,31.25,183.44,0.00,341.14
TÉCNICO RODA,3,1334.00,16008.00,129.00,31.25,214.00,0.00,374.25
OPERADOR DE ISLA ( E ),3,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
OPERADOR DE PLANTA ( E ),3,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
CONDUCTOR,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
SUPERVISOR MECÁNICO,5,2470.00,29640.00,205.83,31.25,0.00,0.00,237.08
OPERADOR DE PLANTA,3,1354.00,16248.00,120.59,31.25,93.09,0.00,244.93
OPERADOR DE ISLA ( E ),3,1087.00,13044.00,93.70,31.25,37.37,0.00,162.32
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
COORDINADOR DE MATERIALES ( E ),5,1597.00,19164.00,133.08,31.25,0.00,618.00,782.33
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,99.93,31.25,112.11,0.00,243.29
AYUDANTE DE MANTENIMIENTO,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,93.32,31.25,32.84,0.00,157.41
OPERADOR DE PLANTA ( E ),3,1087.00,13044.00,99.92,31.25,112.10,0.00,243.27
AYUDANTE DE CONSTRUCCIONES,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
ANALISTA DE CONTROL DE COSTOS,3,2229.00,26748.00,185.75,31.25,0.00,0.00,217.00
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
OPERADOR DE PLANTA,3,1334.00,16008.00,120.08,31.25,107.00,0.00,258.33
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
ANALISTA DE CONTRATOS ESPECIALES,3,1817.43,21809.16,151.45,31.25,0.00,0.00,182.70
OPERADOR DE ISLA ( E ),3,1087.00,13044.00,99.93,31.25,112.11,0.00,243.29
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
AYUDANTE AUTOMOTRIZ,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
OPERADOR DE ISLA,3,1334.00,16008.00,120.08,31.25,107.00,0.00,258.33
ANALISTA DE CONTROL DE COSTOS ( E ),3,885.00,10620.00,73.75,31.25,0.00,130.00,235.00
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
INGENIERO DE CONFIABILIDAD ( E ),5,465.00,5580.00,38.75,31.25,0.00,1750.00,1820.00
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
TÉCNICO ELÉCTRICO ( E ),3,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
TÉCNICO ELÉCTRICO (LÍNEAS) ( E ),3,465.00,5580.00,38.75,31.25,0.00,550.00,620.00
OPERADOR DE PLANTA,3,1334.00,16008.00,121.36,31.25,122.29,0.00,274.90
OPERADOR DE PLANTA ( E ),3,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
OPERADOR DE ISLA ( E ),3,1087.00,13044.00,102.00,31.25,137.01,0.00,270.26
INGENIERO DE SOPORTE DE INTEGRIDAD MECÁNICA ( E ),4,607.00,7284.00,50.58,31.25,0.00,892.00,973.83
CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ),1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
SUPERINTENDENTE DE SEGURIDAD Y AMBIENTE,6,4100.00,49200.00,341.67,31.25,0.00,0.00,372.92
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,99.93,31.25,112.11,0.00,243.29
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,67.57,31.25,14.84,0.00,113.66
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
AYUDANTE DE MANTENIMIENTO,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
AYUDANTE DE MANTENIMIENTO,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
AYUDANTE DE MANTENIMIENTO,1,885.00,10620.00,74.21,31.25,5.53,0.00,110.99
TÉCNICO ELÉCTRICO ( E ),3,465.00,5580.00,42.26,31.25,42.16,550.00,665.67
AYUDANTE DE PRODUCCIÓN,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
AYUDANTE DE MANTENIMIENTO,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
BODEGUERO ( E ),2,796.00,9552.00,66.33,31.25,0.00,120.00,217.58
OPERADOR DE PLANTA ( E ),3,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
TÉCNICO ELÉCTRICO (LÍNEAS) ( E ),3,465.00,5580.00,38.75,31.25,0.00,550.00,620.00
ASISTENTE DE CONTROL DE DOCUMENTOS ( E ),2,465.00,5580.00,38.75,31.25,0.00,222.00,292.00
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
OPERADOR DE PLANTA,3,1334.00,16008.00,129.00,31.25,214.00,0.00,374.25
OPERADOR DE ISLA,3,1334.00,16008.00,131.55,31.25,244.58,0.00,407.38
TÉCNICO MECÁNICO TORNERO ( E ),3,574.00,6888.00,47.83,31.25,0.00,441.00,520.08
TÉCNICO INSTRUMENTISTA,3,1354.00,16248.00,112.83,31.25,0.00,0.00,144.08
OPERADOR DE ISLA,3,1334.00,16008.00,120.08,31.25,107.00,0.00,258.33
SUPERVISOR DE PRODUCCIÓN ( E ),5,1334.00,16008.00,127.84,31.25,200.10,881.00,1240.19
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
SUPERVISOR MECÁNICO,5,2699.94,32399.28,224.99,31.25,0.00,0.00,256.24
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
OPERADOR DE ISLA,3,2122.02,25464.24,191.02,31.25,170.20,0.00,392.47
OPERADOR DE ISLA,3,1334.00,16008.00,124.25,31.25,157.03,0.00,312.53
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ),1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
CAPATAZ DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
AYUDANTE DE PRODUCCIÓN,1,531.00,6372.00,47.80,31.25,42.59,0.00,121.64
AYUDANTE DE MANTENIMIENTO,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,67.58,31.25,14.93,0.00,113.76
AUXILIAR DE SUMINISTROS,1,1644.32,19731.84,137.03,31.25,0.00,0.00,168.28
ANALISTA DE CONTROL DE COSTOS,3,2229.00,26748.00,185.75,31.25,0.00,0.00,217.00
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
ASISTENTE ADMINISTRATIVA,2,1943.43,23321.16,161.95,31.25,0.00,0.00,193.20
BODEGUERO,2,1638.00,19656.00,136.50,31.25,0.00,0.00,167.75
BODEGUERO,2,1597.00,19164.00,133.08,31.25,0.00,0.00,164.33
TÉCNICO MECÁNICO DE OVERHAUL TALLER,3,1204.00,14448.00,100.33,31.25,0.00,0.00,131.58
ADMINISTRADOR DE INVENTARIO,3,2229.00,26748.00,185.75,31.25,0.00,0.00,217.00
TÉCNICO ELÉCTRICO (LÍNEAS) ( E ),3,465.00,5580.00,38.75,31.25,0.00,550.00,620.00
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,105.11,31.25,174.38,0.00,310.74
CONDUCTOR,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
OPERADOR DE ISLA ( E ),3,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN,3,573.81,6885.72,47.82,31.25,0.00,0.00,79.07
OPERADOR DE PLANTA,3,1334.00,16008.00,129.00,31.25,214.00,0.00,374.25
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
TÉCNICO ELÉCTRICO,3,1334.00,16008.00,111.17,31.25,0.00,0.00,142.42
SUPERVISOR DE PRODUCCIÓN ( E ),5,1334.00,16008.00,111.17,31.25,0.00,881.00,1023.42
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1204.00,14448.00,100.33,31.25,0.00,0.00,131.58
OPERADOR DE ISLA,3,1334.00,16008.00,120.08,31.25,107.00,0.00,258.33
SUPERVISOR MECÁNICO ( E ),5,2470.00,29640.00,205.83,31.25,0.00,129.00,366.08
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,99.92,31.25,112.10,0.00,243.27
OPERADOR DE ISLA,3,1334.00,16008.00,120.08,31.25,107.00,0.00,258.33
SUPERVISOR DE PRODUCCIÓN,5,2736.00,32832.00,326.80,31.25,1185.60,0.00,1543.65
OPERADOR DE PLANTA,3,1334.00,16008.00,111.17,31.25,0.00,0.00,142.42
BODEGUERO AVIACIÓN  ( S ),2,1334.00,16008.00,121.82,31.25,127.84,263.00,543.91
CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ),1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
OPERADOR DE EQUIPOS FLUVIALES,3,1597.00,19164.00,133.08,31.25,0.00,0.00,164.33
ANALISTA DE IMPUESTOS,3,2229.00,26748.00,185.75,31.25,0.00,0.00,217.00
TÉCNICO INSTRUMENTISTA,3,1354.00,16248.00,117.06,31.25,50.78,0.00,199.09
RESERVORISTA,5,3573.37,42880.44,297.78,31.25,0.00,0.00,329.03
COORDINADOR GENERAL DE TERRITORIO,6,4000.00,48000.00,333.33,31.25,0.00,0.00,364.58
OPERADOR DE PLANTA,3,1334.00,16008.00,120.08,31.25,107.00,0.00,258.33
OPERADOR DE PLANTA ( E ),3,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
BODEGUERO  ( S ),2,796.00,9552.00,66.33,31.25,0.00,434.00,531.58
ASISTENTE ADMINISTRATIVA,2,1767.33,21207.96,147.28,31.25,0.00,0.00,178.53
SUPERINTENDENTE DE CONSTRUCCIONES,6,4361.00,52332.00,363.42,31.25,0.00,0.00,394.67
MENSAJERO,1,795.00,9540.00,66.25,31.25,0.00,0.00,97.50
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
TÉCNICO INSTRUMENTISTA ( E ),3,574.00,6888.00,47.83,31.25,0.00,441.00,520.08
OPERADOR DE ISLA,3,1334.00,16008.00,122.63,31.25,137.57,0.00,291.45
TÉCNICO MECÁNICO ( E ),3,568.00,6816.00,49.69,31.25,28.34,447.00,556.28
OPERADOR DE VACUUM,2,906.30,10875.60,75.53,31.25,0.00,0.00,106.78
INGENIERO DE OPERACIONES Y COMPLETACIÓN  ( S ),5,1087.00,13044.00,113.98,31.25,280.81,1649.00,2075.04
RESERVORISTA,5,2522.00,30264.00,210.17,31.25,0.00,0.00,241.42
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1204.00,14448.00,100.33,31.25,0.00,0.00,131.58
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,97.85,31.25,87.19,0.00,216.29
TÉCNICO LÍDER AUTOMOTRIZ ( E ),4,2200.38,26404.56,183.37,31.25,0.00,0.00,214.62
ANALISTA DE CONTROL DE COSTOS,3,2229.00,26748.00,185.75,31.25,0.00,0.00,217.00
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ),3,885.00,10620.00,73.75,31.25,0.00,130.00,235.00
OPERADOR DE ISLA,3,1246.58,14958.96,103.88,31.25,0.00,0.00,135.13
TÉCNICO MECÁNICO DE OVERHAUL TURBINAS,3,1204.00,14448.00,100.33,31.25,0.00,0.00,131.58
OPERADOR DE ISLA ( E ),3,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,99.93,31.25,112.11,0.00,243.29
MENSAJERO,1,795.00,9540.00,66.25,31.25,0.00,0.00,97.50
OPERADOR DE VACUUM,2,906.30,10875.60,75.53,31.25,0.00,0.00,106.78
AYUDANTE DE CONSTRUCCIONES,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,69.10,31.25,33.17,0.00,133.52
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,105.11,31.25,174.38,0.00,310.74
OPERADOR DE ISLA,3,1334.00,16008.00,111.17,31.25,0.00,0.00,142.42
AYUDANTE DE MANTENIMIENTO,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
TÉCNICO ELÉCTRICO (LÍNEAS),3,573.81,6885.72,47.82,31.25,0.00,0.00,79.07
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
AYUDANTE DE PRODUCCIÓN,1,1087.00,13044.00,90.58,31.25,0.00,0.00,121.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
OPERADOR DE ISLA,3,1334.00,16008.00,121.36,31.25,122.29,0.00,274.90
TÉCNICO ELÉCTRICO ( E ),3,465.00,5580.00,38.75,31.25,0.00,550.00,620.00
AYUDANTE DE MANTENIMIENTO,1,465.00,5580.00,38.75,31.25,0.00,0.00,70.00
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796.00,9552.00,66.33,31.25,0.00,0.00,97.58
